Year,Avg_temp,Global,avg_temp,Riyadh
1851,8.18,,25.03,
1852,8.1,,24.85,
1853,8.04,,24.93,
1854,8.21,,24.72,
1855,8.11,,24.92,
1856,8,8.107,24.57,24.837
1857,7.76,8.037,24.26,24.708
1858,8.1,8.037,25.01,24.735
1859,8.25,8.072,24.95,24.738
1860,7.96,8.030,24.94,24.775
1861,7.85,7.987,24.13,24.643
1862,7.56,7.913,23.77,24.510
1863,8.11,7.972,24.28,24.513
1864,7.98,7.952,25.03,24.517
1865,8.18,7.940,25.23,24.563
1866,8.29,7.995,24.92,24.560
1867,8.44,8.093,25.22,24.742
1868,8.25,8.208,25,24.947
1869,8.43,8.262,25.3,25.117
1870,8.2,8.298,25.02,25.115
1871,8.12,8.288,24.73,25.032
1872,8.19,8.272,24.87,25.023
1873,8.35,8.257,25.24,25.027
1874,8.43,8.287,24.98,25.023
1875,7.86,8.192,24.43,24.878
1876,8.08,8.172,24.89,24.857
1877,8.54,8.242,25.47,24.980
1878,8.83,8.348,25.51,25.087
1879,8.17,8.318,25.24,25.087
1880,8.12,8.267,24.8,25.057
1881,8.27,8.335,25.63,25.257
1882,8.13,8.343,24.66,25.218
1883,7.98,8.250,25.19,25.172
1884,7.77,8.073,24.8,25.053
1885,7.92,8.032,24.98,25.010
1886,7.95,8.003,24.98,25.040
1887,7.91,7.943,24.81,24.903
1888,8.09,7.937,25.13,24.982
1889,8.32,7.993,25.52,25.037
1890,7.97,8.027,25.07,25.082
1891,8.02,8.043,25.39,25.150
1892,8.07,8.063,25.22,25.190
1893,8.06,8.088,25.19,25.253
1894,8.16,8.100,24.66,25.175
1895,8.15,8.072,24.69,25.037
1896,8.21,8.112,24.88,25.005
1897,8.29,8.157,24.86,24.917
1898,8.18,8.175,24.88,24.860
1899,8.4,8.232,25.12,24.848
1900,8.5,8.288,25.29,24.953
1901,8.54,8.353,25.55,25.097
1902,8.3,8.368,25.25,25.158
1903,8.22,8.357,24.64,25.122
1904,8.09,8.342,25.07,25.153
1905,8.23,8.313,24.87,25.112
1906,8.38,8.293,24.85,25.038
1907,7.95,8.195,24.44,24.853
1908,8.19,8.177,24.95,24.803
1909,8.18,8.170,25.57,24.958
1910,8.22,8.192,24.75,24.905
1911,8.18,8.183,24.24,24.800
1912,8.17,8.148,24.96,24.818
1913,8.3,8.207,24.63,24.850
1914,8.59,8.273,24.94,24.848
1915,8.59,8.342,25.38,24.817
1916,8.23,8.343,24.85,24.833
1917,8.02,8.317,25.03,24.965
1918,8.13,8.310,24.66,24.915
1919,8.38,8.323,25.39,25.042
1920,8.36,8.285,24.94,25.042
1921,8.57,8.282,24.84,24.952
1922,8.41,8.312,25.35,25.035
1923,8.42,8.378,25.1,25.047
1924,8.51,8.442,25.69,25.218
1925,8.53,8.467,25,25.153
1926,8.73,8.528,25.19,25.195
1927,8.52,8.520,25.29,25.270
1928,8.63,8.557,25.39,25.277
1929,8.24,8.527,25.36,25.320
1930,8.63,8.547,25.39,25.270
1931,8.72,8.578,25.38,25.333
1932,8.71,8.575,24.96,25.295
1933,8.34,8.545,24.67,25.192
1934,8.63,8.545,24.97,25.122
1935,8.52,8.592,25.61,25.163
1936,8.55,8.578,25.15,25.123
1937,8.7,8.575,25.08,25.073
1938,8.86,8.600,25.11,25.098
1939,8.76,8.670,25.16,25.180
1940,8.76,8.692,25.51,25.270
1941,8.77,8.733,25.37,25.230
1942,8.73,8.763,25.49,25.287
1943,8.76,8.773,24.96,25.267
1944,8.85,8.772,25.6,25.348
1945,8.58,8.742,25.3,25.372
1946,8.68,8.728,25.49,25.368
1947,8.8,8.733,26,25.473
1948,8.75,8.737,24.85,25.367
1949,8.59,8.708,24.82,25.343
1950,8.37,8.628,24.98,25.240
1951,8.63,8.637,26.1,25.373
1952,8.64,8.630,25.72,25.412
1953,8.87,8.642,25.51,25.330
1954,8.56,8.610,25.8,25.488
1955,8.63,8.617,25.33,25.573
1956,8.28,8.602,25.02,25.580
1957,8.73,8.618,24.69,25.345
1958,8.77,8.640,25.64,25.332
1959,8.73,8.617,24.14,25.103
1960,8.58,8.620,25.67,25.082
1961,8.8,8.648,25.12,25.047
1962,8.75,8.727,26.1,25.227
1963,8.86,8.748,25.54,25.368
1964,8.41,8.688,25.14,25.285
1965,8.53,8.655,25.59,25.527
1966,8.6,8.658,26.16,25.608
1967,8.7,8.642,24.87,25.567
1968,8.52,8.603,25.21,25.418
1969,8.6,8.560,26.05,25.503
1970,8.7,8.608,25.84,25.620
1971,8.6,8.620,24.93,25.510
1972,8.5,8.603,24.74,25.273
1973,8.95,8.645,25.6,25.395
1974,8.47,8.637,25.4,25.427
1975,8.74,8.660,25.04,25.258
1976,8.35,8.602,24.97,25.113
1977,8.85,8.643,25.99,25.290
1978,8.69,8.675,25.95,25.492
1979,8.73,8.638,26.2,25.592
1980,8.98,8.723,25.83,25.663
1981,9.17,8.795,25.95,25.815
1982,8.64,8.843,24.62,25.757
1983,9.03,8.873,24.85,25.567
1984,8.69,8.873,25.05,25.417
1985,8.66,8.862,25.3,25.267
1986,8.83,8.837,25.36,25.188
1987,8.99,8.807,26.37,25.258
1988,9.2,8.900,25.99,25.487
1989,8.92,8.882,25.05,25.520
1990,9.23,8.972,25.7,25.628
1991,9.18,9.058,25.43,25.650
1992,8.84,9.060,24.37,25.485
1993,8.87,9.040,25.42,25.327
1994,9.04,9.013,26.08,25.342
1995,9.35,9.085,25.64,25.440
1996,9.04,9.053,26.28,25.537
1997,9.2,9.057,25.49,25.547
1998,9.52,9.170,26.73,25.940
1999,9.29,9.240,26.92,26.190
2000,9.2,9.267,26.55,26.268
2001,9.41,9.277,26.67,26.440
